"X","node1","node2","length","startLat","startLon","endLat","endLon","endNodeL","startNodeL","startYear","endYear","greatCircleDist_km","treeID"
29,56,12,1.35399611047221,-21.0366495633888,-40.9952794939777,-20.86368,-40.936139,39.6909838833079,38.3369877728357,2006.35600388953,2007.71,15.9610930797234,184950000
30,56,13,2.10399611047221,-21.0366495633888,-40.9952794939777,-20.607613,-41.195268,40.4409838833079,38.3369877728357,2006.35600388953,2008.46,42.3231071538059,184950000
31,57,14,4.95525651897277,-20.3321987458236,-40.9871685631262,-22.087694,-41.688944,38.5209838833079,33.5657273643351,2001.58474348103,2006.54,166.229610687764,184950000
32,57,58,4.02279904220427,-20.3321987458236,-40.9871685631262,-19.863446640495,-40.4222898578848,37.5885264065394,33.5657273643351,2001.58474348103,2005.60754252323,74.292257786538,184950000
33,58,60,0.679678130826258,-19.863446640495,-40.4222898578848,-19.8184917996568,-40.3647935542907,38.2682045373656,37.5885264065394,2005.60754252323,2006.28722065406,7.44961620900456,184950000
34,58,59,0.0851803232577728,-19.863446640495,-40.4222898578848,-19.8993172110616,-40.4195835801941,37.6737067297971,37.5885264065394,2005.60754252323,2005.69272284649,3.05495924209146,184950000
35,59,15,2.34727715351073,-19.8993172110616,-40.4195835801941,-19.935588,-40.406632,40.0209838833079,37.6737067297971,2005.69272284649,2008.04,3.39564967325526,184950000
36,59,16,0.427277153510657,-19.8993172110616,-40.4195835801941,-19.758194,-40.376564,38.1009838833078,37.6737067297971,2005.69272284649,2006.12,12.8872944680744,184950000
37,60,17,0.672779345942317,-19.8184917996568,-40.3647935542907,-19.829738,-40.374662,38.9409838833079,38.2682045373656,2006.28722065406,2006.96,1.45490264951615,184950000
38,60,61,1.63302772820551,-19.8184917996568,-40.3647935542907,-19.8313752977887,-40.2989767057144,39.9012322655711,38.2682045373656,2006.28722065406,2007.92024838226,7.40811094805062,184950000
39,61,19,0.459751617736884,-19.8313752977887,-40.2989767057144,-19.819618,-40.274364,40.360983883308,39.9012322655711,2007.92024838226,2008.38,2.91622360452237,184950000
40,61,18,1.28975161773681,-19.8313752977887,-40.2989767057144,-20.128696,-40.308267,41.1909838833079,39.9012322655711,2007.92024838226,2009.21,25.2632897876212,184950000
