node1,node2,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,greatCircleDist_km,length
6,12,40.5447156258701,-74.3181613398977,40.3495736470651,-74.9755314003365,6.30800821355228,2.83915126625607,2001.83915126626,2005.30800821355,59.7779419574971,3.46885694729008
12,48,40.3495736470651,-74.9755314003365,40.3488679570577,-74.9772234613597,6.3326488706366,6.30800821355228,2005.30800821355,2005.33264887064,0.163646602725545,0.0246406570900035
19,37,42.0388372605812,-76.7975386636899,41.6821974249414,-76.6913172304198,6.40383299110204,5.77138945927436,2004.77138945927,2005.4038329911,40.6675726920092,0.632443531829949
37,52,41.6821974249414,-76.6913172304198,41.6819289053258,-76.6899199489313,6.43668720054757,6.40383299110204,2005.4038329911,2005.43668720055,0.119956768436606,0.032854209450079
12,49,40.3495736470651,-74.9755314003365,40.3439061949421,-74.9574001339444,6.56262833675555,6.30800821355228,2005.30800821355,2005.56262833676,1.66269173455258,0.254620123210088
39,40,41.1282608632682,-73.0325515159291,41.0721754418611,-73.0198503572473,6.56810403832992,5.97125256673507,2004.97125256674,2005.56810403833,6.33390798386449,0.596851471589844
26,46,40.4072623475945,-75.8755847891871,40.8669026160165,-75.6863286730573,6.70225872689934,6.29158110882963,2005.29158110883,2005.7022587269,53.6085018870764,0.41067761806994
40,54,41.0721754418611,-73.0198503572473,41.0670366523321,-73.0378639026611,6.77070499657771,6.56810403832992,2005.56810403833,2005.77070499658,1.61646178559397,0.202600958250059
26,47,40.4072623475945,-75.8755847891871,40.5948998397313,-75.9697923446233,6.87474332648867,6.29158110882963,2005.29158110883,2005.87474332649,22.3590227303779,0.583162217659947
29,32,41.4468366260807,-75.7213260912036,41.1853891160388,-75.1745327009889,6.88021902806304,5.44284736481859,2004.44284736482,2005.88021902806,54.1971486824087,1.43737166324013
40,55,41.0721754418611,-73.0198503572473,41.0439639617117,-72.9112116115551,6.88569472963718,6.56810403832992,2005.56810403833,2005.88569472964,9.64511621410147,0.317590691309988
32,62,41.1853891160388,-75.1745327009889,41.1394961541927,-75.1937545870527,7.0198494182066,6.88021902806304,2005.88021902806,2006.01984941821,5.35695456963535,0.139630390149932
54,59,41.0670366523321,-73.0378639026611,41.0789944775227,-73.0005249184408,7.0609171800138,6.77070499657771,2005.77070499658,2006.06091718001,3.40466775509189,0.290212183429958
62,65,41.1394961541927,-75.1937545870527,41.1470579732007,-75.2002002021521,7.08829568788497,7.0198494182066,2006.01984941821,2006.08829568788,1.0003192080598,0.0684462696699484
19,36,42.0388372605812,-76.7975386636899,41.6188288214689,-76.8742596498868,7.14852840520189,5.77138945927436,2004.77138945927,2006.1485284052,47.188088056234,1.37713894593003
37,53,41.6821974249414,-76.6913172304198,41.7453721233287,-76.79000061439,7.25804243668722,6.40383299110204,2005.4038329911,2006.25804243669,10.8033323346898,0.854209445589959
59,66,41.0789944775227,-73.0005249184408,41.0926768727992,-73.0319304195812,7.31279945242977,7.0609171800138,2006.06091718001,2006.31279945243,3.04370692423727,0.251882272420062
66,73,41.0926768727992,-73.0319304195812,41.0925205752741,-73.0320799089424,7.32648870636558,7.31279945242977,2006.31279945243,2006.32648870637,0.0214486928274622,0.0136892539399014
36,68,41.6188288214689,-76.8742596498868,41.6397306240322,-76.8642303885439,7.39493497604371,7.14852840520189,2006.1485284052,2006.39493497604,2.47199724422943,0.246406570840008
32,63,41.1853891160388,-75.1745327009889,41.3769401989764,-74.9989996880205,7.41683778234096,6.88021902806304,2005.88021902806,2006.41683778234,25.8913421577658,0.536618754279971
59,67,41.0789944775227,-73.0005249184408,40.8943140597604,-72.981445739255,7.44147843942505,7.0609171800138,2006.06091718001,2006.44147843943,20.6217603448902,0.380561259420119
39,41,41.1282608632682,-73.0325515159291,41.642880988437,-72.7527573952627,7.47433264887059,5.97125256673507,2004.97125256674,2006.47433264887,61.8725041603413,1.50308008212983
46,57,40.8669026160165,-75.6863286730573,40.8705402480758,-75.6311900123212,7.51813826146486,6.70225872689934,2005.7022587269,2006.51813826146,4.65944100957465,0.815879534560054
67,76,40.8943140597604,-72.981445739255,40.8906375120545,-72.9994497555903,7.56468172484597,7.44147843942505,2006.44147843943,2006.56468172485,1.56942037959567,0.123203285420004
53,70,41.7453721233287,-76.79000061439,41.7377137202869,-76.8042424722016,7.58932238193029,7.25804243668722,2006.25804243669,2006.58932238193,1.45820109244174,0.331279945240112
57,80,40.8705402480758,-75.6311900123212,40.93912899959,-75.5436427027236,7.58932238193029,7.51813826146486,2006.51813826146,2006.58932238193,10.6094817095304,0.0711841204699795
67,77,40.8943140597604,-72.981445739255,40.9178538624585,-72.9347453855522,7.60848733744001,7.44147843942505,2006.44147843943,2006.60848733744,4.72292215774785,0.167008898009954
33,34,41.4113248141659,-75.7457613345576,41.8321807222679,-75.671870371676,7.67967145790544,5.74127310061613,2004.74127310062,2006.67967145791,47.2531169087459,1.93839835729
76,82,40.8906375120545,-72.9994497555903,40.8801046490341,-73.0121961568107,7.81930184804924,7.56468172484597,2006.56468172485,2006.81930184805,1.5892594718298,0.254620123199857
48,50,40.3488679570577,-74.9772234613597,40.2198154524637,-75.3232092293836,7.83572895277212,6.3326488706366,2005.33264887064,2006.83572895277,32.7063544367643,1.50308008213005
11,27,40.4475086656067,-75.9235292703797,40.7764299069154,-75.3686197619578,7.8877481177276,5.13347022587277,2004.13347022587,2006.88774811773,59.4973544301217,2.75427789186006
41,79,41.642880988437,-72.7527573952627,41.5979941921175,-72.2405713481547,7.89322381930174,7.47433264887059,2006.47433264887,2006.8932238193,42.9166803244377,0.418891170430015
34,88,41.8321807222679,-75.671870371676,41.8257313439871,-75.6988594454729,8,7.67967145790544,2006.67967145791,2007,2.3510990917706,0.32032854209001
77,87,40.9178538624585,-72.9347453855522,40.5190717308003,-73.0325594836077,8.01642710472288,7.60848733744001,2006.60848733744,2007.01642710472,45.1545890257061,0.407939767279913
48,51,40.3488679570577,-74.9772234613597,49.7187768945793,-63.9594149143124,8.10130047912389,6.3326488706366,2005.33264887064,2007.10130047912,1353.32359651494,1.76865160848001
47,61,40.5948998397313,-75.9697923446233,40.5245326529099,-76.1033717614543,8.12867898699528,6.87474332648867,2005.87474332649,2007.128678987,13.7477364108246,1.25393566051002
41,78,41.642880988437,-72.7527573952627,41.6145544412432,-72.769293143748,8.19164955509927,7.47433264887059,2006.47433264887,2007.1916495551,3.4405386210842,0.717316906230053
28,42,41.4483405321507,-75.7262155180074,40.3690064084248,-76.010850134708,8.22724161533188,6.0698151950719,2005.06981519507,2007.22724161533,122.518565359418,2.15742642025998
57,81,40.8705402480758,-75.6311900123212,40.9345977088538,-75.222502170779,8.26830937713885,7.51813826146486,2006.51813826146,2007.26830937714,35.1191031324699,0.750171115679905
